Barangay,overall_share,recent_share,seasonal_share,risk_score_raw,risk_score,Date,Year,Month,predicted_outbreak_probability,predicted_city_cases_proxy,predicted_barangay_cases_proxy,predicted_barangay_label
IRISAN,0.08043941817927641,0.06322546990425228,0.0819715541085202,0.07604130166139106,0.040212502176899007,2029-05-01,2029,5,0.7128431372549019,128113.24336321423,5151.754077632844,Higher Risk
BAKAKENG CENTRAL,0.05252287905817909,0.07683376243121813,0.05402529292263908,0.060567351002320795,0.032029498191329046,2029-05-01,2029,5,0.7128431372549019,128113.24336321423,4103.402896587369,Higher Risk
LOAKAN PROPER,0.03835140492788289,0.046248338297406905,0.06458150505484862,0.05383553500222296,0.02846954906310596,2029-05-01,2029,5,0.7128431372549019,128113.24336321423,3647.326267562662,Higher Risk
IRISAN,0.08043941817927641,0.06322546990425228,0.08253111673520025,0.07632108297473109,0.04681627450136668,2029-06-01,2029,6,0.7461764705882352,166059.88961471658,7774.305375869222,Higher Risk
BAKAKENG CENTRAL,0.05252287905817909,0.07683376243121813,0.05068704937424058,0.058898229228121546,0.03612888548896894,2029-06-01,2029,6,0.7461764705882352,166059.88961471658,5999.558736200918,Higher Risk
CAMP 7,0.05260247531961397,0.07195130159691723,0.04125315489462221,0.05273246299030907,0.032346729976366236,2029-06-01,2029,6,0.7461764705882352,166059.88961471658,5371.494409272421,Higher Risk
IRISAN,0.08043941817927641,0.06322546990425228,0.07180400555692673,0.07095752738559433,0.04528218672926075,2029-07-01,2029,7,0.7195098039215686,216700.8917441889,9812.690244357682,Higher Risk
CAMP 7,0.05260247531961397,0.07195130159691723,0.05260587325390033,0.05840882216994813,0.03727411720201421,2029-07-01,2029,7,0.7195098039215686,216700.8917441889,8077.334436653891,Higher Risk
BAKAKENG CENTRAL,0.05252287905817909,0.07683376243121813,0.037904370668405886,0.0525068898752042,0.0335077458235168,2029-07-01,2029,7,0.7195098039215686,216700.8917441889,7261.1584002937125,Higher Risk
IRISAN,0.08043941817927641,0.06322546990425228,0.07338819986584103,0.07174962454005147,0.0455582106408726,2029-08-01,2029,8,0.7161764705882353,292249.99355427147,13314.38676613916,Higher Risk
CAMP 7,0.05260247531961397,0.07195130159691723,0.06288575515626162,0.06354876312112878,0.04035098378282363,2029-08-01,2029,8,0.7161764705882353,292249.99355427147,11792.574750438718,Higher Risk
BAKAKENG CENTRAL,0.05252287905817909,0.07683376243121813,0.03597859154308594,0.051544000312544226,0.03272842803799302,2029-08-01,2029,8,0.7161764705882353,292249.99355427147,9564.8828831449,Higher Risk
IRISAN,0.08043941817927641,0.06322546990425228,0.09085528268379758,0.08048316594902975,0.04880155441500678,2029-09-01,2029,9,0.7161764705882353,386145.8697665086,18844.518675540392,Higher Risk
CAMP 7,0.05260247531961397,0.07195130159691723,0.04563021061389147,0.054920990849943695,0.03330174318921568,2029-09-01,2029,9,0.7161764705882353,386145.8697665086,12859.330588540592,Higher Risk
BAKAKENG CENTRAL,0.05252287905817909,0.07683376243121813,0.03292406453203188,0.050016736807017195,0.03032801299708499,2029-09-01,2029,9,0.7161764705882353,386145.8697665086,11711.03695704936,Higher Risk
IRISAN,0.08043941817927641,0.06322546990425228,0.08067478902421843,0.07539291911924018,0.04367638448656875,2029-10-01,2029,10,0.7161764705882353,512047.99664746015,22364.405177151737,Higher Risk
CAMP 7,0.05260247531961397,0.07195130159691723,0.05500085939086576,0.059606315238430845,0.034530939677025266,2029-10-01,2029,10,0.7161764705882353,512047.99664746015,17681.498483975083,Higher Risk
